Timestamp,Date,USDT,USDC,BUSD,DAI,FRAX,TUSD,USN,Total
1683676800,2023-05-10,19107143,30467345,103,2940262,,20622,37813931,90349406
1683763200,2023-05-11,19085355,30374966,102,2940265,,20534,37813931,90235153
1683849600,2023-05-12,19094116,30844940,102,2930618,,20527,37813934,90704237
1683936000,2023-05-13,19085734,30910908,102,2933120,,20539,37813934,90764337
1684022400,2023-05-14,19045415,30940858,102,2936068,,20560,37813934,90756937
1684108800,2023-05-15,19031658,30992756,102,2933134,,20518,37813933,90792101
1684195200,2023-05-16,19025538,31018947,102,2936068,,20581,37813933,90815169
1684281600,2023-05-17,19029978,30877564,102,2936064,,20533,37813933,90678174
1684368000,2023-05-18,18977016,30962321,102,2933132,,20533,37813933,90707037
1684454400,2023-05-19,18984940,30905335,102,2931561,,20540,37813933,90656411
1684540800,2023-05-20,18978945,30890431,102,2927724,,20536,37813932,90631670
1684627200,2023-05-21,18998330,30926390,102,2928636,,20536,37813932,90687926
1684713600,2023-05-22,18877707,30974365,102,2931565,,20519,37813945,90618203
1684800000,2023-05-23,18862793,30940170,102,2931565,,20540,37813945,90569115
1684886400,2023-05-24,18773812,30988737,102,2928211,,20528,37813945,90525335
1684972800,2023-05-25,18619691,31191173,102,2927566,,20488,37813946,90572966
1685059200,2023-05-26,18630312,31058565,102,2928219,,20530,37813947,90451675
1685145600,2023-05-27,18562507,30889529,102,2927747,,20517,37813947,90214349
1685232000,2023-05-28,18480188,30941599,102,2928423,,20540,37813947,90184799
1685318400,2023-05-29,18522039,30893472,103,2928416,,20519,37813947,90178496
1685404800,2023-05-30,18476419,30801326,102,2925246,,20540,37813947,90037580
1685491200,2023-05-31,18477991,30885244,102,2925571,,20528,37813947,90123383
1685577600,2023-06-01,18498913,30758969,102,2931375,,20529,37813947,90023835
1685664000,2023-06-02,18376015,30662395,102,2927943,,20529,37813947,89800931
1685750400,2023-06-03,18372381,30549402,102,2928447,,20540,37813948,89684820
1685836800,2023-06-04,18352367,30485967,102,2928435,,20540,37813948,89601359
1685923200,2023-06-05,18351078,30502214,102,2931375,,20536,37813948,89619253
1686009600,2023-06-06,18266798,30345483,102,2926356,,20529,37813950,89373218
1686096000,2023-06-07,18260697,30258267,102,2925969,,20535,37813951,89279521
1686182400,2023-06-08,18231197,30411316,102,2928451,,20538,37813952,89405556
1686268800,2023-06-09,18243258,30360091,102,2928184,,20518,37813952,89366105
1686355200,2023-06-10,18210863,30339972,102,2928252,,20525,,51499714
1686441600,2023-06-11,18233095,30359377,102,2928169,,20467,,51541210
1686528000,2023-06-12,18232768,30196767,102,2930525,,20531,,51380693
1686614400,2023-06-13,18190122,29793868,103,2927377,,20560,,50932030
1686700800,2023-06-14,18081367,29914202,102,2930323,,20560,,50946554
1686787200,2023-06-15,18094706,30031353,102,2924267,,20581,,51071009
1686873600,2023-06-16,19588860,29691060,102,2925514,,20581,,52226117
1686960000,2023-06-17,19611993,29584693,102,2926888,,511,,52124187
1687046400,2023-06-18,19682280,29620045,102,2926014,,511,,52228952
1687132800,2023-06-19,19675226,29621660,102,2925164,,511,,52222663
1687219200,2023-06-20,19681895,29501784,102,2921795,,512,,52106088
1687305600,2023-06-21,19737203,31645643,103,2926964,,512,,54310425
1687392000,2023-06-22,19599943,31770928,102,2924040,,511,,54295524
1687478400,2023-06-23,19493068,31565787,102,2921646,,510,37813958,91795071
1687564800,2023-06-24,19494550,31564373,102,2923994,,510,37813958,91797487
1687651200,2023-06-25,19348617,33800442,102,2924217,,509,37813957,93887844
